year_orig;filename;total_trees;acreage;marked_acres;volume;avg_bft;price_bft;total_cost;net;forest;total_sale_price;date_of_sale;fy;month;day;year;time;sale_number;sold_to;bid2;bid2_amount;bid3;bid3_amount;bid4;bid4_amount;bid5;bid5_amount;bid6;bid6_amount;bid7;bid7_amount;bid8;bid8_amount;bid9;bid9_amount;lat;lng
2001;data/2001/tabula-2001_Part1.csv;745;212;128;136,229;183;$300.23;$2,692.55;$38,207.45;CLARK STATE FOREST;$40,900.00;2000-08-25;2001;8;25;2000;2000-08-25;200101;Ivan Sparks Construction|12996 E. Shady Meadows|Solsberry, IN|47459;Adkins Sawmill Inc.|PO Box 255|New Salisbury, IN|47161;$40,650.00;;;;;;;;;;;;;;;38.5545;-85.7668
2001;data/2001/tabula-2001_Part45.csv;494;100;85;155,087;314;$368.90;$3,329.78;$53,881.22;MORGAN-MONROE STATE FOREST;$57,211.00;2000-09-19;2001;9;19;2000;2000-09-19;1-MM-00-01;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$36,666.00;;;;;;;;;;;;;;;39.3258;-86.4199
2001;data/2001/tabula-2001_Part49.csv;334;83;65;69,722;209;$131.95;$886.31;$8,313.69;YELLOWWOOD STATE FOREST;$9,200.00;2000-09-19;2001;9;19;2000;2000-09-19;2001;Harmony Ridge Forest Products LLC|David England|9546 W. CR 150 S.|Medora IN|47260;;;;;;;;;;;;;;;;;39.1843;-86.3381
2001;data/2001/tabula-2001_Part5.csv;345;90;48;108,400;314;$290.63;$755.31;$30,748.70;FERDINAND-PIKE STATE FOREST;$31,504.00;2000-09-19;2001;9;19;2000;2000-09-19;20011;Heim Brothers Lumber Co.|4917 W. St. Rd. 56, P.O. Box 126|Ireland, In 47545;Quality Hardwoods|5681 S State Rd. 145|Birdseye, IN|47575;$23,600.00;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;$25,755.00;Billy R. Ransom Logging|665 Heritage Ln.|Boonville, IN|47601-9715;$16,200.00;Campbell & Son Sawmill|428 W. Lincoln Hills Rd.|English, IN|47118;$15,000.00;;;;;;;;;38.2544;-86.8105
2001;data/2001/tabula-2001_Part53.csv;15;72;0;6,301;420;$1,091.10;$253.27;$6,621.73;MORGAN-MONROE STATE FOREST;$6,875.00;2000-09-19;2001;9;19;2000;2000-09-19;2-MM-00-01;G.R. Wood, Inc.|260 Park Drive|Mooresville, IN.|46158;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$4,599.00;;;;;;;;;;;;;;;39.3258;-86.4199
2001;data/2001/tabula-2001_Part41.csv;26;63;10;7,680;295;$164.06;$138.86;$1,121.14;OWEN-PUTNAM STATE FOREST;$1,260.00;2000-09-28;2001;9;28;2000;2000-09-28;1;Crites Logging|RR5 Box 652|Spencer, IN|47460;;;;;;;;;;;;;;;;;39.4753;-86.8698
2001;data/2001/tabula-2001_Part57.csv;182;56;40;42,480;233;$342.91;$713.20;$13,853.81;YELLOWWOOD STATE FOREST;$14,567.00;2001-01-17;2001;1;17;2001;2001-01-17;20013;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$14,457.00;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$12,500.00;Harmony Ridge Forest Products LLC|David England|9546 W. CR 150 S.|Medora IN|47260;$10,250.00;;;;;;;;;;;39.1843;-86.3381
2001;data/2001/tabula-2001_Part61.csv;221;72;65;54,956;249;$267.49;$2,713.75;$11,986.25;MORGAN-MONROE STATE FOREST;$14,700.00;2001-01-17;2001;1;17;2001;2001-01-17;04-MM-00-01;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$5.00;;;;;;;;;;;;;;;39.3258;-86.4199
2001;data/2001/tabula-2001_Part13.csv;231;42;27;49,200;213;$328.87;$710.10;$15,470.40;FERDINAND-PIKE STATE FOREST;$16,180.50;2001-03-22;2001;3;22;2001;2001-03-22;20013;Green Farms LLC|PO Box 304|Mitchell, IN|47476;Werner Specialty Hardwoods, Inc.|584 N. Kluemper Rd.|Jasper, IN|47546-9598;$12,353.00;;;;;;;;;;;;;;;38.2544;-86.8105
2001;data/2001/tabula-2001_Part17.csv;433;93;58;72,155;167;$326.45;$1,024.96;$22,530.04;HARRISON-CRAWFORD STATE FOREST;$23,555.00;2001-03-22;2001;3;22;2001;2001-03-22;101;Dallas Coffman Logging|2045 Dixie Rd. SW|Corydon, IN|47112;Lester Speedy Sawmill|8095 W Leasor Road|Eckerty, IN|47116-9422;$15,000.00;;;;;;;;;;;;;;;38.2107;-86.292
2001;data/2001/tabula-2001_Part9.csv;189;142;20;60,191;318;$340.58;$1,436.04;$19,063.97;FERDINAND-PIKE STATE FOREST;$20,500.01;2001-03-22;2001;3;22;2001;2001-03-22;20012;Green Farms LLC|PO Box 304|Mitchell, IN|47476;Waninger and Sons Timber Co.|Highway 545|Fulda, IN|47536;$17,125.00;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;$17,655.00;;;;;;;;;;;;;38.2544;-86.8105
2001;data/2001/tabula-2001_Part21.csv;1,945;249;190;364,320;187;$257.74;$8,817.39;$85,082.61;HARRISON-CRAWFORD STATE FOREST;$93,900.00;2001-05-24;2001;5;24;2001;2001-05-24;102;Ivan Sparks Construction|12996 E. Shady Meadows|Solsberry, IN|47459;Coffman Logging|2190 Lickford Bridge Rd. SW.|Corydon, IN|47112;$54,661.00;;;;;;;;;;;;;;;38.2107;-86.292
2001;data/2001/tabula-2001_Part25.csv;645;136;74;135,435;210;$321.19;$4,611.94;$38,888.06;HARRISON-CRAWFORD STATE FOREST;$43,500.00;2001-05-24;2001;5;24;2001;2001-05-24;103;Doyle Etienne Logging|HC 60, Box 164A|Derby, IN|47525;Doug Wright Timber|4750 North State Road 135|Salem, IN|47167;$38,352.53;Ivan Sparks Construction|12996 E. Shady Meadows|Solsberry, IN|47459;$35,900.00;Coffman Logging|2190 Lickford Bridge Rd. SW.|Corydon, IN|47112;$20,385.00;;;;;;;;;;;38.2107;-86.292
2001;data/2001/tabula-2001_Part29.csv;402;73;62;79,224;197;$287.78;$2,390.74;$20,408.27;JACKSON-WASHINGTON STATE FOREST;$22,799.00;2001-05-24;2001;5;24;2001;2001-05-24;635-01-01;Reynolds Logging|8274 W.Co. Rd. 425 S.|Medora, IN|47260;Shields and Son Logging LLC|4560 E. Nicholson Hollow Road|Salem, IN| 47167;$19,806.00;Brian Newby|3672 Marrs Rd|Salem, IN|47167;$15,860.00;Bane Logging|1414 E US HWY 50|Brownstown, IN|47220;$10,000.00;;;;;;;;;;;38.845;-86.0509
2001;data/2001/tabula-2001_Part33.csv;361;79;70;103,008;285;$303.47;$2,992.79;$28,267.21;JACKSON-WASHINGTON STATE FOREST;$31,260.00;2001-05-24;2001;5;24;2001;2001-05-24;635-01-02;Reynolds Logging|8274 W.Co. Rd. 425 S.|Medora, IN|47260;Shields and Son Logging LLC|4560 E. Nicholson Hollow Road|Salem, IN| 47167;$20,601.00;Bane Logging|1414 E US HWY 50|Brownstown, IN|47220;$16,000.00;;;;;;;;;;;;;38.845;-86.0509
2001;data/2001/tabula-2001_Part37.csv;1,039;174;139;208,511;201;$299.31;$10,433.22;$51,976.79;JACKSON-WASHINGTON STATE FOREST;$62,410.00;2001-05-24;2001;5;24;2001;2001-05-24;635-01-03;Reynolds Logging|8274 W.Co. Rd. 425 S.|Medora, IN|47260;Bane Logging|1414 E US HWY 50|Brownstown, IN|47220;$46,000.00;;;;;;;;;;;;;;;38.845;-86.0509
2001;data/2001/tabula-2001_Part69.csv;649;62;55;148,550;229;$257.15;$3,995.43;$34,204.58;YELLOWWOOD STATE FOREST;$38,200.00;2001-06-01;2001;6;1;2001;2001-06-01;20015;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$32,261.70;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;$23,000.00;;;;;;;;;;;;;39.1843;-86.3381
2001;data/2001/tabula-2001_Part65.csv;382;64;64;115,022;301;$321.26;$1,603.83;$35,348.17;MORGAN-MONROE STATE FOREST;$36,952.00;2001-06-12;2001;6;12;2001;2001-06-12;07-MM- 00- 01;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$27,100.00;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;$17,257.00;;;;;;;;;;;;;39.3258;-86.4199
2003;data/2003/2003_Part37.csv;320;34;30;83,860;262;$305.46;$1,304.67;$24,311.35;MORGAN-MONROE STATE FOREST;$25,616.02;2001-09-18;2002;9;18;2001;2001-09-18;01-MM-01-02 102;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$21,517.64;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$19,312.42;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$18,950.89;Crone Lumber Co. Inc.|501 N. Park Ave.|Martinsville, IN|46151;$17,374.49;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;$12,028.49;;;;;;;39.3258;-86.4199
2003;data/2003/2003_Part5.csv;202;80;27;50,000;248;$462.00;$501.03;$22,598.98;FERDINAND-PIKE STATE FOREST;$23,100.00;2001-10-26;2002;10;26;2001;2001-10-26;20021;Etienne's Timber Harvest, INC.|25993 St. Croix Rd.|St Croix, IN|47576;Quality Hardwoods|5681 S State Rd. 145|Birdseye, IN|47575;$20,326.00;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;$20,155.00;Kat Milling;$20,005.00;Hoffman Sawmill, Inc.|3277 West 700n|Jasper, IN|47546;$18,944.00;Werner Specialty Hardwoods, Inc.|584 N. Kluemper Rd.|Jasper, IN|47546-9598;$18,500.00;Green Farms LLC|PO Box 304|Mitchell, IN|47476;bid cut off sheet;;;;;38.2544;-86.8105
2003;data/2003/2003_Part25.csv;324;71;71;58,500;181;$282.05;$2,830.02;$13,669.98;OWEN-PUTNAM STATE FOREST;$16,500.00;2002-01-29;2002;1;29;2002;2002-01-29;1 OP01/02-807;Crites Logging|RR5 Box 652|Spencer, IN|47460;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;;Indiana Hardwoods|7988 Gardner Road|Chandler, IN|47610;$12,033.00;Kirkham Hardwoods|3956 S State Rd 63|Terre Haute, IN|47802;$11,820.00;;;;;;;;;;;39.4753;-86.8698
